Simulation,Iter_0,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50,Iter_51,Iter_52,Iter_53,Iter_54,Iter_55,Iter_56,Iter_57,Iter_58,Iter_59,Iter_60,Iter_61,Iter_62,Iter_63,Iter_64,Iter_65,Iter_66,Iter_67,Iter_68,Iter_69,Iter_70,Iter_71,Iter_72,Iter_73,Iter_74,Iter_75,Iter_76,Iter_77
10,0.4,0.48,0.52,0.52,0.52,0.44,0.36,0.36,0.36,0.4,0.4,0.4,0.4,0.44,0.48,0.48,0.48,0.52,0.48,0.4,0.36,0.36,0.4,0.36,0.4,0.44,0.44,0.44,0.4,0.4,0.4,0.4,0.44,0.48,0.48,0.48,0.44,0.48,0.44,0.44,0.44,0.48,0.44,0.44,0.44,0.48,0.44,0.4,0.4,0.4,0.44,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.44,0.44,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.44,0.44,0.44,0.44,0.44,0.44,0.4,0.4,0.4,0.4,0.4
11,0.44,0.44,0.4,0.52,0.52,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.4,0.44,0.44,0.48,0.48,0.4,0.44,0.44,0.44,0.48,0.44,0.4,0.4,0.44,0.48,0.44,0.48,0.44,0.44,0.4,0.4,0.48,0.48,0.44,0.4,0.44,0.4,0.44,0.44,0.44,0.48,0.44,0.44,0.44,0.44,0.48,0.44,0.48,0.48,0.52,0.56,0.64,0.6,0.48
12,0.48,0.44,0.44,0.4,0.48,0.4,0.44,0.44,0.44,0.52,0.48,0.48,0.48,0.44,0.44,0.4,0.44,0.44,0.48,0.48,0.44,0.44,0.44,0.4,0.44,0.48,0.4,0.44,0.48,0.44,0.48,0.48,0.48,0.48,0.48,0.44,0.48,0.44,0.44,0.48,0.44,0.48,0.48,0.44,0.44,0.48,0.48,0.44,0.44,0.44,0.52,0.52,0.52,0.56,0.56,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.56,0.56,0.56,0.6,0.6,0.64,0.64,0.68,0.72,0.68,0.64,0.72,0.68,0.68
13,0.36,0.52,0.48,0.48,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.56,0.52,0.56,0.56,0.6,0.52,0.52
14,0.6,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.48,0.52,0.52,0.48,0.52,0.56,0.52,0.52,0.52,0.56,0.56,0.68,0.6,0.56,0.6,0.64,0.6,0.6,0.64,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.72,0.64
15,0.6,0.44,0.44,0.44,0.48,0.56,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.44,0.44,0.44,0.48,0.44,0.48,0.48,0.44,0.44,0.44,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.56,0.48,0.52,0.56,0.56,0.6,0.6,0.68,0.68,0.68,0.68,0.72,0.68
16,0.56,0.56,0.6,0.52,0.56,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.56,0.52,0.52,0.48,0.48,0.48,0.36,0.4,0.4,0.44,0.52,0.44,0.48,0.56,0.56,0.64,0.56,0.68,0.72,0.6,0.64,0.6,0.52,0.56,0.56,0.6,0.64,0.68,0.68,0.6,0.6,0.68,0.64,0.6,0.64,0.76,0.72,0.76
17,0.48,0.52,0.52,0.48,0.48,0.36,0.44,0.36,0.44,0.28,0.24,0.32,0.24,0.28,0.32,0.2,0.24,0.32,0.4,0.4,0.32,0.32,0.4,0.44,0.56,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.44,0.48,0.52,0.52,0.48,0.52,0.48,0.52,0.52,0.52,0.52,0.52,0.56,0.56,0.56,0.56,0.52,0.56,0.48,0.56,0.52,0.56,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.44,0.44,0.4,0.48,0.48,0.4,0.4,0.44,0.36
18,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.52,0.52,0.48,0.52,0.52,0.48,0.48,0.48,0.52,0.52,0.56,0.56
19,0.52,0.56,0.52,0.48,0.52,0.48,0.48,0.52,0.48,0.48,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.56,0.52,0.52,0.48,0.52,0.48,0.48,0.52,0.52,0.52,0.56,0.52,0.48,0.52,0.56,0.52,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.6,0.56,0.52,0.52,0.48,0.48,0.48,0.48,0.52,0.56,0.56
20,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.44,0.48,0.52,0.52,0.48,0.48,0.52,0.48,0.44,0.48,0.44,0.4,0.44,0.32,0.48,0.36,0.4,0.6,0.64,0.68,0.6,0.56,0.68,0.68,0.68,0.68,0.68,0.56,0.64,0.64,0.56,0.56,0.52,0.52,0.56,0.56,0.56,0.52,0.52,0.56,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.6,0.68,0.72,0.72,0.68,0.76,0.72,0.64,0.64,0.64,0.64,0.68,0.76,0.72,0.72,0.68,0.76,0.72,0.68,0.76,0.72,0.72,0.64
21,0.6,0.6,0.64,0.64,0.64,0.52,0.6,0.6,0.6,0.64,0.56,0.64,0.68,0.68,0.64,0.56,0.6,0.64,0.68,0.56,0.56,0.6,0.68,0.64,0.64,0.64,0.68,0.68,0.56,0.6,0.6,0.56,0.56,0.48,0.6,0.52,0.6,0.64,0.64,0.6,0.6,0.64,0.68,0.64,0.64,0.68,0.64,0.68,0.68,0.68,0.68,0.64,0.56,0.56,0.56,0.56,0.6,0.6,0.52,0.52,0.56,0.56,0.52,0.52,0.56,0.56,0.56,0.56,0.56,0.6,0.64,0.68,0.68,0.68,0.68,0.68,0.68,0.64
22,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.56,0.72,0.64,0.72,0.6,0.52,0.56,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.56,0.52,0.56,0.56,0.52,0.56,0.56,0.6,0.6,0.68,0.56,0.68,0.64,0.68,0.76,0.76,0.76,0.76
23,0.36,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.6,0.48,0.48,0.56,0.48,0.48,0.52,0.6,0.52,0.52,0.64,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.52,0.52,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.6,0.6,0.6,0.64,0.56,0.6,0.64,0.56,0.56,0.52,0.56,0.52,0.52,0.52,0.6,0.68,0.6,0.56,0.6,0.64,0.6,0.64,0.76,0.72,0.72,0.76,0.76,0.76,0.68
24,0.44,0.52,0.52,0.56,0.48,0.6,0.56,0.6,0.6,0.6,0.56,0.6,0.6,0.56,0.6,0.52,0.56,0.56,0.6,0.56,0.72,0.72,0.72,0.64,0.68,0.76,0.64,0.64,0.64,0.6,0.6,0.68,0.64,0.64,0.6,0.64,0.6,0.68,0.64,0.64,0.64,0.64,0.64,0.64,0.6,0.64,0.64,0.6,0.6,0.6,0.6,0.64,0.64,0.64,0.64,0.64,0.64,0.6,0.64,0.64,0.6,0.64,0.64,0.64,0.6,0.64,0.64,0.6,0.64,0.64,0.64,0.72,0.68,0.68,0.56,0.6,0.64,0.6
25,0.48,0.48,0.48,0.52,0.52,0.56,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.56,0.56,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.44,0.48,0.44,0.48,0.48,0.44,0.44,0.44,0.48,0.48,0.52,0.52,0.52,0.52,0.56,0.64,0.6,0.6,0.6,0.56,0.6,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.68,0.68,0.72,0.72
26,0.56,0.48,0.44,0.52,0.52,0.56,0.56,0.56,0.52,0.52,0.52,0.48,0.48,0.56,0.56,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.56,0.56,0.6,0.6,0.56,0.56,0.56,0.56,0.6,0.6,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.68
27,0.4,0.4,0.48,0.48,0.48,0.48,0.48,0.44,0.48,0.48,0.44,0.48,0.44,0.4,0.44,0.44,0.48,0.48,0.48,0.44,0.4,0.44,0.4,0.44,0.44,0.48,0.44,0.4,0.44,0.44,0.4,0.48,0.44,0.44,0.44,0.44,0.4,0.44,0.44,0.4,0.4,0.4,0.44,0.48,0.44,0.4,0.48,0.44,0.44,0.48,0.44,0.44,0.44,0.44,0.4,0.44,0.4,0.48,0.48,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.4,0.4,0.48,0.52,0.48,0.48,0.52,0.52,0.52,0.56
28,0.4,0.44,0.48,0.48,0.48,0.44,0.4,0.44,0.6,0.52,0.52,0.52,0.56,0.48,0.52,0.52,0.56,0.56,0.52,0.52,0.52,0.56,0.56,0.52,0.52,0.56,0.6,0.56,0.56,0.52,0.56,0.44,0.48,0.48,0.56,0.56,0.56,0.56,0.52,0.52,0.52,0.56,0.52,0.52,0.52,0.52,0.52,0.56,0.52,0.56,0.56,0.6,0.56,0.52,0.56,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.52,0.56,0.56,0.64,0.68,0.6,0.68,0.68,0.6,0.68,0.68,0.68,0.68,0.64,0.64
29,0.48,0.44,0.48,0.44,0.48,0.48,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.48,0.48,0.44,0.48,0.48,0.48,0.44,0.48,0.44,0.44,0.48,0.48,0.48,0.48,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.52,0.52,0.52,0.6,0.6,0.56,0.6,0.64,0.68,0.6,0.6
30,0.44,0.44,0.44,0.52,0.48,0.48,0.4,0.4,0.4,0.36,0.44,0.4,0.4,0.44,0.52,0.56,0.6,0.68,0.52,0.52,0.56,0.56,0.56,0.48,0.48,0.44,0.44,0.48,0.52,0.48,0.48,0.48,0.48,0.52,0.44,0.48,0.52,0.48,0.48,0.44,0.44,0.44,0.44,0.44,0.36,0.44,0.44,0.48,0.48,0.48,0.44,0.44,0.44,0.48,0.44,0.44,0.44,0.44,0.44,0.48,0.48,0.48,0.52,0.52,0.52,0.48,0.52,0.56,0.52,0.48,0.48,0.48,0.52,0.56,0.48,0.52,0.52,0.52
31,0.52,0.48,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.52,0.48,0.48,0.52,0.44,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.52,0.52,0.52,0.56,0.6,0.64,0.64,0.6,0.6,0.64,0.56,0.48,0.6,0.52,0.64,0.6,0.6,0.56,0.56,0.52,0.56,0.56,0.6,0.56,0.56,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.64,0.64,0.68,0.68,0.72,0.76,0.76
32,0.44,0.36,0.48,0.48,0.28,0.4,0.36,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.44,0.44,0.52,0.44,0.52,0.44,0.48,0.44,0.52,0.52,0.48,0.52,0.48,0.48,0.48,0.52,0.44,0.48,0.48,0.48,0.52,0.44,0.56,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.52,0.48,0.48,0.44,0.48,0.52,0.52,0.48,0.48,0.48,0.52,0.48,0.52,0.48,0.48,0.52,0.48,0.48,0.44,0.48,0.48,0.48,0.48,0.48,0.4,0.4,0.44,0.48,0.44,0.48,0.44
33,0.48,0.4,0.44,0.48,0.36,0.48,0.52,0.56,0.6,0.48,0.56,0.56,0.6,0.56,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.48,0.48,0.48,0.56,0.6,0.6,0.56,0.56,0.52,0.56,0.56,0.64,0.64,0.64,0.6,0.64,0.64,0.68,0.64,0.68,0.68,0.72,0.64,0.72,0.76,0.76
34,0.44,0.48,0.64,0.6,0.6,0.56,0.56,0.56,0.52,0.52,0.52,0.56,0.52,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.44,0.44,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.56,0.52,0.56,0.56,0.56,0.56,0.52,0.56,0.56,0.56,0.56,0.6,0.6,0.6,0.6,0.6,0.6,0.64,0.6,0.6,0.6,0.64,0.68,0.76,0.72,0.76,0.76,0.72,0.68,0.72,0.72,0.72,0.68,0.68
35,0.6,0.56,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.68,0.6,0.72,0.68,0.64,0.6,0.68,0.6,0.6,0.56,0.6,0.6,0.6,0.56,0.56,0.64,0.64,0.64,0.6,0.6,0.56,0.56,0.6,0.52,0.52,0.56,0.6,0.6,0.56,0.56,0.52,0.52,0.52,0.56,0.56,0.56,0.56,0.56,0.48,0.48,0.56,0.68,0.6,0.64,0.64,0.6,0.6,0.64,0.64
36,0.48,0.52,0.52,0.52,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.52,0.52,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.48,0.48,0.44,0.48,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.48,0.44,0.48,0.48,0.48,0.44,0.44,0.44,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.6,0.6,0.68,0.68,0.68,0.68,0.72
37,0.56,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.48,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.52,0.52,0.56,0.6,0.64,0.64,0.64,0.68,0.64,0.68,0.64,0.68,0.68,0.68,0.68,0.68,0.68,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.56
38,0.48,0.52,0.52,0.48,0.48,0.48,0.52,0.48,0.48,0.48,0.52,0.64,0.56,0.56,0.44,0.44,0.6,0.56,0.56,0.6,0.68,0.64,0.72,0.64,0.72,0.68,0.68,0.6,0.6,0.6,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.44,0.56,0.48,0.56,0.6,0.6,0.56,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.68,0.68,0.68,0.68,0.68,0.68,0.76,0.72,0.72,0.72,0.76,0.72,0.72,0.68,0.76,0.72,0.76,0.72,0.76,0.76,0.72,0.72
39,0.48,0.68,0.76,0.68,0.68,0.64,0.64,0.64,0.72,0.88,0.88,0.88,0.92,0.88,0.92,0.84,0.84,0.84,0.84,0.92,0.84,0.84,0.92,0.84,0.88,0.88,0.88,0.8,0.8,0.8,0.84,0.8,0.84,0.84,0.8,0.8,0.84,0.88,0.88,0.76,0.84,0.84,0.8,0.84,0.76,0.8,0.8,0.8,0.88,0.92,0.88,0.88,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.88,0.88,0.88,0.88,0.84,0.84,0.88,0.88,0.88,0.92,0.88,0.92,0.92,0.92,0.88,0.92,0.92
40,0.44,0.56,0.56,0.56,0.48,0.48,0.56,0.56,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.56,0.56,0.56,0.52,0.56,0.56,0.56,0.52,0.52,0.52,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.6,0.52,0.52,0.52,0.6,0.6,0.6,0.6,0.6,0.56,0.56,0.56,0.68,0.56,0.64,0.72,0.72,0.64,0.6,0.6,0.6,0.64,0.72,0.68,0.72,0.72,0.68,0.72,0.72,0.68,0.72,0.72,0.68,0.68,0.72,0.72,0.68,0.68,0.64,0.64
